@relation oaidtb_BIGUIApp

@attribute xPos numeric
@attribute yPos numeric
@attribute class {-16776961,-65536,-13108,-13057,-205,-6684673,-39220,-10027162,-26164,-16737895,-52327,-16711783}

@data
873,29,-16711783
887,127,-16711783
824,68,-16711783
828,101,-16711783
921,66,-16711783
824,91,-16711783
834,110,-16711783
841,117,-16711783
886,127,-16711783
834,48,-16711783
834,47,-16711783
890,126,-16711783
886,31,-16711783
823,79,-16711783
829,55,-16711783
850,34,-16711783
833,109,-16711783
823,84,-16711783
861,30,-16711783
841,41,-16711783
896,123,-16711783
882,30,-16711783
915,52,-16711783
882,128,-16711783
838,115,-16711783
851,34,-16711783
923,78,-16711783
917,103,-16711783
823,78,-16711783
900,121,-16711783
824,71,-16711783
825,65,-16711783
852,33,-16711783
837,45,-16711783
890,32,-16711783
827,59,-16711783
838,44,-16711783
858,31,-16711783
913,49,-16711783
853,33,-16711783
911,47,-16711783
828,102,-16711783
907,116,-16711783
845,120,-16711783
832,51,-16711783
906,117,-16711783
855,126,-16711783
861,128,-16711783
889,32,-16711783
923,85,-16711783
845,121,-16711783
894,34,-16711783
894,124,-16711783
917,55,-16711783
922,89,-16711783
880,29,-16711783
909,45,-16711783
867,129,-16711783
911,112,-16711783
906,41,-16711783
892,33,-16711783
832,108,-16711783
913,109,-16711783
824,89,-16711783
837,44,-16711783
843,39,-16711783
830,54,-16711783
923,82,-16711783
923,77,-16711783
917,102,-16711783
826,96,-16711783
831,52,-16711783
921,92,-16711783
860,31,-16711783
830,104,-16711783
920,96,-16711783
910,45,-16711783
942,91,-205
822,126,-205
803,84,-205
809,105,-205
810,48,-205
804,67,-205
845,142,-205
913,135,-205
804,69,-205
922,128,-205
942,68,-205
828,25,-205
908,138,-205
934,44,-205
899,13,-205
922,28,-205
855,146,-205
842,15,-205
938,52,-205
941,61,-205
932,40,-205
854,11,-205
914,135,-205
804,66,-205
812,111,-205
880,8,-205
834,136,-205
859,10,-205
943,82,-205
881,148,-205
940,59,-205
805,93,-205
916,23,-205
882,9,-205
865,147,-205
841,16,-205
943,72,-205
894,145,-205
928,122,-205
942,90,-205
868,8,-205
889,146,-205
804,89,-205
814,40,-205
819,122,-205
824,28,-205
888,146,-205
932,41,-205
892,10,-205
901,14,-205
837,18,-205
937,106,-205
833,136,-205
844,142,-205
935,110,-205
939,102,-205
943,80,-205
920,130,-205
803,83,-205
813,42,-205
860,147,-205
925,125,-205
915,22,-205
825,27,-205
852,11,-205
911,19,-205
941,95,-205
808,52,-205
803,70,-205
879,148,-205
919,25,-205
849,144,-205
872,8,-205
933,42,-205
864,147,-205
934,112,-205
804,90,-205
875,8,-205
919,131,-205
941,94,-205
940,98,-205
941,93,-205
896,144,-205
815,117,-205
863,9,-205
895,11,-205
868,148,-205
940,57,-205
943,71,-205
815,39,-205
816,118,-205
817,120,-205
875,148,-205
806,59,-205
