@relation oaidtb_BIGUIApp

@attribute xPos numeric
@attribute yPos numeric
@attribute class {-16776961,-65536,-6684673,-65281,-10027213}

@data
166,14,-10027213
193,42,-10027213
49,112,-10027213
86,10,-10027213
106,3,-10027213
202,69,-10027213
158,9,-10027213
53,120,-10027213
136,160,-10027213
202,95,-10027213
51,116,-10027213
110,2,-10027213
93,7,-10027213
198,54,-10027213
141,3,-10027213
88,9,-10027213
202,71,-10027213
43,82,-10027213
156,8,-10027213
91,154,-10027213
117,161,-10027213
157,9,-10027213
190,125,-10027213
118,161,-10027213
196,115,-10027213
109,160,-10027213
122,161,-10027213
60,32,-10027213
54,41,-10027213
130,161,-10027213
173,144,-10027213
195,116,-10027213
44,96,-10027213
48,110,-10027213
46,104,-10027213
114,1,-10027213
195,47,-10027213
62,133,-10027213
166,149,-10027213
110,160,-10027213
194,118,-10027213
197,113,-10027213
98,5,-10027213
54,122,-10027213
53,119,-10027213
92,7,-10027213
143,3,-10027213
51,45,-10027213
165,149,-10027213
202,68,-10027213
132,1,-10027213
177,22,-10027213
139,3,-10027213
160,152,-10027213
66,25,-10027213
195,46,-10027213
201,64,-10027213
109,2,-10027213
164,12,-10027213
46,103,-10027213
61,30,-10027213
133,160,-10027213
122,1,-10027213
43,80,-10027213
187,129,-10027213
90,8,-10027213
88,153,-10027213
201,65,-10027213
185,131,-10027213
184,30,-10027213
126,1,-10027213
92,155,-10027213
75,145,-10027213
200,60,-10027213
203,78,-10027213
203,87,-10027213
48,52,-10027213
43,89,-10027213
174,19,-10027213
125,161,-10027213
188,128,-10027213
166,13,-10027213
162,151,-10027213
98,157,-10027213
199,105,-10027213
194,119,-10027213
154,7,-10027213
196,48,-10027213
43,86,-10027213
134,160,-10027213
169,147,-10027213
176,141,-10027213
64,27,-10027213
200,58,-10027213
202,93,-10027213
181,136,-10027213
196,113,-10027213
44,95,-10027213
79,14,-10027213
59,33,-10027213
100,158,-10027213
135,2,-10027213
190,124,-10027213
64,26,-10027213
66,24,-10027213
89,154,-10027213
45,100,-10027213
180,137,-10027213
201,97,-10027213
48,109,-10027213
181,26,-10027213
99,5,-10027213
170,146,-10027213
159,152,-10027213
196,114,-10027213
199,57,-10027213
70,141,-10027213
97,157,-10027213
198,109,-10027213
119,1,-10027213
201,100,-10027213
49,111,-10027213
194,117,-10027213
44,92,-10027213
43,72,-10027213
57,127,-10027213
203,79,-10027213
73,143,-10027213
